step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
166,1,2,-1.1,-1.0,-1.0,0.0,,
167,1,2,0.9,-1.0,-1.0,0.0,,
168,1,2,0.9,-1.0,-1.0,0.0,,
169,1,2,0.9,-1.0,-1.0,0.0,,
170,1,2,0.9,-1.0,-1.0,0.0,,
171,1,2,0.9,-1.0,-1.0,0.0,,
172,1,2,0.9,-1.0,-1.0,0.0,,
173,1,0,-0.6,-1.0,-1.0,0.0,,
174,1,2,-0.1,-1.0,-1.0,0.0,,
175,1,2,0.9,-1.0,-1.0,0.0,,
176,1,2,0.9,-1.0,-1.0,0.0,,
177,1,2,0.9,-1.0,-1.0,0.0,,
178,1,2,0.9,-1.0,-1.0,0.0,,
179,1,0,-0.6,-1.0,-1.0,0.0,,
180,1,2,-0.1,-1.0,-1.0,0.0,,
181,1,2,0.9,-1.0,-1.0,0.0,,
182,1,2,0.9,-1.0,-1.0,0.0,,
183,1,0,-0.6,-1.0,-1.0,0.0,,
184,1,0,-0.6,-1.0,-1.0,0.0,,
185,1,2,-0.1,-1.0,-1.0,0.0,,
186,1,0,-0.6,-1.0,-1.0,0.0,,
187,1,2,-0.1,-1.0,-1.0,0.0,,
188,1,2,0.9,-1.0,-1.0,0.0,,
189,1,2,0.9,-1.0,-1.0,0.0,,
190,1,2,0.9,-1.0,-1.0,0.0,,
191,1,2,0.9,-1.0,0.41805503,0.0,,
192,1,2,0.9,-1.0,0.3933777,0.0,,
193,1,0,-0.6,-1.0,0.43664744,0.0,,
194,1,1,-0.1,-1.0,0.41872424,0.0,,
195,1,2,-0.1,-1.0,0.39654762,0.0,,
196,1,2,0.9,-1.0,0.37027693,0.0,,
197,1,2,0.9,-1.0,0.35461107,0.0,,
198,1,2,0.9,-1.0,0.34613436,0.0,,
199,1,2,0.9,-1.0,0.3462167,0.0,,
200,1,0,-0.6,-1.0,0.37437013,0.0,,max_steps
0,1,2,4.232716912031174,0.38736287,-1.0,0.25390625,,
1,1,2,5.357828938961029,0.36546546,-1.0,0.45703125,,
2,1,2,6.388469988107682,0.3507435,-1.0,0.6484375,,
3,1,1,5.14292066693306,0.36938462,-1.0,0.41796875,,
4,1,2,6.3259675145149235,0.35152525,-1.0,0.63671875,,
5,1,1,5.0134292781353,0.3718454,-1.0,0.39453125,,
6,1,2,6.158714348077774,0.35372588,-1.0,0.60546875,,
7,1,0,35.88741054534912,0.3806429,-1.0,0.578125,,
8,1,2,7.219992482662201,0.340689,-1.0,0.8046875,,
9,1,2,8.097545409202576,0.33705342,-1.0,0.9765625,,
10,1,1,7.219992482662201,0.340689,-1.0,0.8046875,,
11,1,2,8.077917748689652,0.3370727,-1.0,0.97265625,,
12,1,0,37.893997037410735,0.3621381,-1.0,0.9609375,,
13,1,2,7.015888744592667,0.338541,-1.0,0.76171875,,
14,1,2,6.023917400836945,0.34943527,0.40475425,0.57421875,,
15,1,0,35.899547988176344,0.3469654,0.4070393,0.546875,,
16,1,1,6.907742077112198,0.33673283,-1.0,0.73828125,,
17,1,0,36.689570599794386,0.33349213,-1.0,0.69140625,,
18,1,2,5.6962128520011905,0.34856993,0.41301936,0.5078125,,
19,1,2,4.645226949453354,0.36736086,0.38818553,0.31640625,,
20,1,2,3.4557834804058074,0.39431205,0.3690542,0.10546875,,
21,1,1,4.667134785652161,0.36688554,0.38862965,0.3203125,,
22,1,2,3.3924909472465514,0.3952518,0.36808968,0.09375,,
23,1,2,-0.1,-1.0,0.35693136,0.0,,
24,1,2,0.9,-1.0,0.35082188,0.0,,
25,1,2,0.9,-1.0,0.3509644,0.0,,
26,1,2,0.9,-1.0,0.35761014,0.0,,
27,1,2,0.9,-1.0,0.37138927,0.0,,
28,1,2,0.9,-1.0,0.39179587,0.0,,
29,1,2,0.9,-1.0,0.41741228,0.0,,
30,1,2,0.9,-1.0,-1.0,0.0,,
31,1,0,-0.6,-1.0,-1.0,0.0,,
32,1,2,-0.1,-1.0,-1.0,0.0,,
33,1,2,0.9,-1.0,-1.0,0.0,,
34,1,2,0.9,-1.0,-1.0,0.0,,
35,1,2,0.9,-1.0,-1.0,0.0,,
36,1,1,-0.1,-1.0,-1.0,0.0,,
37,1,2,-1.1,-1.0,-1.0,0.0,,
38,1,1,-1.1,-1.0,-1.0,0.0,,
39,1,2,-1.1,-1.0,-1.0,0.0,,
40,1,2,0.9,-1.0,-1.0,0.0,,
41,1,1,-0.1,-1.0,-1.0,0.0,,
42,1,2,-1.1,-1.0,-1.0,0.0,,
43,1,2,0.9,-1.0,-1.0,0.0,,
44,1,2,0.9,-1.0,-1.0,0.0,,
45,1,2,0.9,-1.0,-1.0,0.0,,
46,1,0,-0.6,-1.0,-1.0,0.0,,
47,1,2,-0.1,-1.0,-1.0,0.0,,
48,1,2,0.9,-1.0,-1.0,0.0,,
49,1,2,0.9,-1.0,-1.0,0.0,,
50,1,2,0.9,-1.0,-1.0,0.0,,
51,1,2,0.9,-1.0,-1.0,0.0,,
52,1,2,0.9,-1.0,-1.0,0.0,,
53,1,0,-0.6,-1.0,-1.0,0.0,,
