step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
30,2,2,0.1,0.16709279,-1.0,0.0,,
31,2,0,-0.6,0.1660271,-1.0,0.0,,
32,2,2,-0.1,0.17083618,-1.0,0.0,,
33,2,1,-0.1,0.16743058,-1.0,0.0,,
34,2,1,0.1,0.16710775,-1.0,0.0,,
35,2,0,-0.6,0.1643046,-1.0,0.0,,
36,2,2,-0.1,0.16818145,-1.0,0.0,,
37,2,1,-0.1,0.16514842,-1.0,0.0,,
38,2,1,0.1,0.16487874,-1.0,0.0,,
39,2,2,-0.1,0.1662077,-1.0,0.0,,
40,2,1,-2.1,0.16597891,-1.0,0.0,,
41,2,2,-2.1,0.16597891,-1.0,0.0,,
42,2,2,0.1,0.16672133,-1.0,0.0,,
43,2,2,0.1,0.16611141,-1.0,0.0,,
44,2,1,-0.1,0.16414933,-1.0,0.0,,
45,2,1,0.1,0.16654429,-1.0,0.0,,
46,2,2,-0.1,0.1643046,-1.0,0.0,,
47,2,0,-0.6,0.1640122,-1.0,0.0,,
48,2,1,-0.1,0.16589454,-1.0,0.0,,
49,2,1,0.1,0.1662077,-1.0,0.0,,
50,2,1,0.1,0.16522107,-1.0,0.0,,
51,2,0,-0.6,0.1705579,-1.0,0.0,,
52,2,2,-0.1,0.1708391,-1.0,0.0,,
53,2,1,-0.1,0.1712104,-1.0,0.0,,
54,2,1,0.1,0.166331,-1.0,0.0,,
55,2,0,-0.6,0.16876018,-1.0,0.0,,
56,2,2,-0.1,0.16966437,-1.0,0.0,,
57,2,0,-0.6,0.17042594,-1.0,0.0,,
58,2,2,-0.1,0.17069563,-1.0,0.0,,
59,2,1,-0.1,0.17022926,-1.0,0.0,,
60,2,2,-2.1,0.16714664,-1.0,0.0,,
61,2,2,0.1,0.16614753,-1.0,0.0,,
62,2,1,-0.1,0.16521502,-1.0,0.0,,
63,2,1,0.1,0.16654429,-1.0,0.0,,
64,2,0,-0.6,0.16443844,-1.0,0.0,,
65,2,1,-0.1,0.17003824,-1.0,0.0,,
66,2,2,-0.1,0.1670479,-1.0,0.0,,
