step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
3,1,0,-0.6,-1.0,-1.0,0.0,,
4,1,2,-0.1,-1.0,-1.0,0.0,,
5,1,2,-0.1,-1.0,-1.0,0.0,,
6,1,2,0.6421875,0.3963395,-1.0,0.1484375,,
7,1,0,3.132724070549011,0.42767394,-1.0,0.07421875,,
8,1,0,2.8767997562885284,0.4319838,-1.0,0.02734375,,
9,1,2,1.1109375,0.37764004,-1.0,0.2421875,,
10,1,1,0.0953125,0.40680707,-1.0,0.0390625,,
11,1,2,1.15,0.3766165,-1.0,0.25,,
12,1,1,0.0953125,0.40680707,-1.0,0.0390625,,
13,1,1,-0.1,-1.0,-1.0,0.0,,
14,1,2,0.11484375,0.40620315,-1.0,0.04296875,,
15,1,2,1.01328125,0.3802328,-1.0,0.22265625,,
16,1,1,0.134375,0.4056008,-1.0,0.046875,,
17,1,2,1.01328125,0.3802328,-1.0,0.22265625,,
18,1,2,2.0484375,0.35720024,-1.0,0.4296875,,
19,1,2,3.025,0.34176016,-1.0,0.625,,
20,1,2,3.94296875,0.33163986,-1.0,0.80859375,,
21,1,1,3.04453125,0.3414806,-1.0,0.62890625,,
22,1,2,3.9234375,0.33178908,-1.0,0.8046875,,
23,1,0,37.27877547740936,0.32502615,-1.0,0.80078125,,
24,1,1,2.9859375,0.3375396,-1.0,0.6171875,,
25,1,2,3.884375,0.3281463,-1.0,0.796875,,
26,1,0,37.053737545013426,0.3505025,-1.0,0.78125,,
27,1,2,4.76328125,0.32007656,-1.0,0.97265625,,
28,1,2,4.11875,0.3224903,-1.0,0.84375,,
29,1,2,3.08359375,0.33132008,0.40715843,0.63671875,,
30,1,1,4.0796875,0.32175303,-1.0,0.8359375,,
31,1,2,3.18125,0.32995152,0.41032913,0.65625,,
32,1,2,2.2046875,0.34573546,0.38385934,0.4609375,,
33,1,2,1.1890625,0.36786547,0.36592487,0.2578125,,
34,1,2,0.27109375,0.39180735,0.35654452,0.07421875,,
35,1,2,-5.1,-1.0,0.3503213,0.0,,
36,1,2,-0.1,-1.0,0.35128337,0.0,,
37,1,2,0.0,-1.0,0.35805166,0.0,,
38,1,2,0.0,-1.0,0.3710485,0.0,,
39,1,2,0.0,-1.0,0.39271873,0.0,,
40,1,2,0.0,-1.0,0.41741228,0.0,,
41,1,2,0.0,-1.0,-1.0,0.0,,
42,1,2,0.0,-1.0,-1.0,0.0,,
43,1,2,0.0,-1.0,-1.0,0.0,,
44,1,2,0.0,-1.0,-1.0,0.0,,
45,1,2,0.0,-1.0,-1.0,0.0,,
46,1,0,-0.6,-1.0,-1.0,0.0,,
47,1,2,-0.1,-1.0,-1.0,0.0,,
48,1,0,-0.6,-1.0,-1.0,0.0,,
49,1,2,-0.1,-1.0,-1.0,0.0,,
50,1,2,-0.1,-1.0,-1.0,0.0,,
51,1,2,0.0,-1.0,-1.0,0.0,,
52,1,2,0.0,-1.0,-1.0,0.0,,
53,1,2,0.0,-1.0,-1.0,0.0,,
54,1,2,0.0,-1.0,-1.0,0.0,,
55,1,2,0.0,-1.0,-1.0,0.0,,
