step,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,green_pixel_count,nearest_area,centroid_x,centroid_y,action,reward,distance_to_lower_center
53,6.4332098960876465,8.454001426696777,52.27641296386719,52.27701950073242,5.847033977508545,5.891944408416748,59.11862564086914,5.926065444946289,6347.0,6187.0,131.0,199.0,0,0.22351779583223721,337.0370899470858
54,6.433986186981201,6.436458587646484,52.27477264404297,52.274757385253906,5.846563339233398,5.891538619995117,57.76124954223633,10.400862693786621,7650.0,7475.0,118.0,207.0,0,0.22292706805861176,334.7670832086094
55,6.43428373336792,6.4366021156311035,52.273433685302734,52.27273178100586,5.84626579284668,5.891199588775635,57.76274871826172,8.279483795166016,9403.0,9210.0,104.0,217.0,0,0.22939288202278227,331.85689686972006
56,6.4325385093688965,6.435131072998047,52.28004837036133,52.28041076660156,5.847720623016357,5.89243221282959,57.751407623291016,5.926596164703369,11846.0,11631.0,85.0,229.0,0,0.21218083826879763,330.65087327875
57,6.434768199920654,6.437102794647217,52.27095413208008,52.27012634277344,5.845782279968262,7.938303470611572,57.76613235473633,5.925371170043945,13267.0,13045.5,72.0,245.0,0,0.26454077448056773,324.2606975876047
58,6.44062614440918,6.443437099456787,52.24995040893555,52.25082015991211,5.84130334854126,10.286073684692383,57.81025695800781,5.92202091217041,13863.0,13641.5,62.0,266.0,0,0.3107818672357221,313.29219588109754
59,6.441556453704834,6.444242000579834,52.926963806152344,52.24658203125,5.840510845184326,12.96904182434082,57.81633377075195,5.921535015106201,13778.0,13559.0,51.0,294.0,0,0.3418525465174465,299.24738929521175
60,6.438264846801758,6.440655708312988,54.96511459350586,52.926639556884766,5.842982769012451,16.04413414001465,57.791316986083984,8.506974220275879,11721.0,11502.5,36.0,330.0,0,0.33860542847748304,285.5240795449659
61,6.435153961181641,6.43778133392334,54.87178421020508,53.040626525878906,5.845730304718018,17.609025955200195,57.77022933959961,17.75921058654785,5936.0,5752.0,18.0,373.0,0,0.3000565689503858,275.6174885597792
62,6.431385040283203,11.155949592590332,54.19893264770508,52.285247802734375,18.0443058013916,5.893143653869629,57.742774963378906,5.9273552894592285,35708.0,35375.5,163.0,328.0,1,0.8214458166283631,206.1674077054858
63,6.432515621185303,8.746553421020508,58.9878044128418,52.28082275390625,29.393417358398438,5.8924407958984375,57.75083923339844,5.926661968231201,55236.0,54834.0,141.0,382.0,0,0.5292787670967186,173.5655495770978
64,6.433356761932373,8.500974655151367,110.10176849365234,52.27797317504883,64.6968765258789,5.892104625701904,57.75800323486328,10.450380325317383,50114.0,49675.0,125.0,419.0,0,0.3303974630955064,160.65490966665163
